bird_id	D14A1	D14A2	D14A3	D14A4	D14B1	D14B2	D14B3	D14B4	D14C1	D14C2	D14C3	D14C4	D21A1	D21A2	D21A3	D21A4	D21B1	D21B2	D21B3	D21B4	D21C1	D21C2	D21C3	D21C4	D35A1	D35A2	D35A4	D35B2	D35B4	D35C1	D35C2	D35C3	D3A2	D3A4	D3B1	D3B2	D3C1	D3C2	D3C3	D3C4	D35A3	D35B3	D35C4	D3A3	D3B3	D3B4	D35B1
Harrysmithimonas galli	0.02404	0.0	0.02434	0.0	0.00479	0.01912	0.00598	0.02427	0.00279	0.00689	0.0	0.00306	0.06058	0.04709	0.02002	0.00393	0.01139	0.02563	0.01906	0.00694	0.01098	0.00737	0.01222	0.00036	0.05814	0.08447	0.02279	0.04391	0.08952	0.0089	0.01725	0.02751	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05228	0.02832	0.03012	0.0	0.0	0.0	0.01189
Gemmiger stercorigallinarum	0.00326	0.00406	0.0	0.0	0.0	0.0035	0.0	0.00071	0.00169	0.00104	0.0	0.00589	0.0	0.00521	0.0	0.00308	0.0044	0.01332	0.00518	0.00229	0.00263	0.0	0.00088	0.00439	0.00186	0.0	0.0	0.00121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00166	0.0	0.00085	0.0	0.0	0.0	0.0
Lactobacillus gallinarum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00149	0.0	0.00015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00605	0.0	0.0	0.0	0.01892	0.00076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0135	0.0
Blautia_A intestinipullorum	0.00229	0.00069	0.00269	0.00172	0.00217	0.00126	0.00182	0.00144	0.00199	0.00198	0.00338	0.00174	0.0	0.0	0.0	0.0	0.00123	0.0	0.00186	0.00124	0.00178	0.0	0.00223	0.00206	0.0	0.0	0.0	0.00096	0.0	0.0005	0.00136	0.00147	0.0015	0.0	0.00157	0.0	0.00206	0.00308	0.00039	0.0	0.0	0.0	0.0017	0.00244	0.0	0.0	0.0
Escherichia ruysiae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00219	0.0	0.0	0.00675	0.0	0.00125	0.00105	0.004	0.0	0.0	0.0	0.0	0.00169	0.0	0.0
Dietzia sp003052165	0.0	0.0	0.00187	0.0	0.00058	0.0	0.00104	0.0	0.0	0.0	0.00019	0.0009	0.0	0.0	0.0	0.00203	0.0	0.00303	0.0	0.0005	0.0004	0.0011	0.0	0.0	0.00193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00123	0.0019	0.00051	0.00633	0.00151	0.0	0.00026	0.0	0.00056	0.0	0.0	0.0	0.00141	0.00581	0.00151
Escherichia sp004211955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.00062	0.0	0.0	0.0	0.0	0.0005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00907	0.0	0.00094	0.00081	0.0	0.0	0.0	0.0	0.00183	0.0	0.0	0.0
Escherichia fergusonii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00182	0.0	0.0	0.0	0.0	0.0	0.00107	0.00392	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Coproplasma stercoripullorum	0.0	0.0	0.0	0.0	0.0	0.01259	0.0	0.0	0.0	0.0006	0.0005	0.0	0.0	0.0	0.00227	0.0	0.0	0.0	0.0	0.00054	0.0	0.0	0.0	0.00368	0.0	0.0	0.00665	0.02362	0.01167	0.00763	0.00127	0.00679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00098	0.00193	0.01427	0.0	0.0	0.0	0.00534
Pullilachnospira stercoravium	0.0	0.00286	0.00749	0.00366	0.00169	0.00197	0.0045	0.00532	0.00237	0.0024	0.00081	0.00686	0.0	0.0	0.00132	0.0	0.0	0.0	0.00591	0.00076	0.00305	0.0	0.0	0.00127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00021	0.0	0.0	0.00131	0.00096	0.0	0.0	0.0	0.0
