bird_id	D14A1	D14A2	D14A3	D14A4	D14B1	D14B2	D14B3	D14B4	D14C1	D14C2	D14C3	D14C4	D21A1	D21A2	D21A3	D21A4	D21B1	D21B2	D21B3	D21B4	D21C1	D21C2	D21C3	D21C4	D35A1	D35A2	D35A3	D35A4	D35B1	D35B2	D35B3	D35B4	D35C1	D35C2	D35C3	D35C4	D3A2	D3A3	D3A4	D3B1	D3B2	D3B3	D3B4	D3C1	D3C2	D3C3	D3C4
Lawsonibacter sp900066825	0.00036	0.00108	0.00103	0.00166	0.00088	0.0004	0.00086	0.00089	0.00157	0.00102	0.00064	0.00058	0.00102	0.0007	0.00054	0.00042	0.00214	0.00053	0.00056	0.00069	0.00105	0.00055	0.00042	0.00053	0.00074	0.00225	0.00075	0.00076	0.00082	0.00376	0.00048	0.0026	0.00072	0.00183	0.00078	0.00192	0.0002	0.00085	0.00189	0.00037	0.0	0.0	0.0	7e-05	0.00021	0.00033	0.0
Lawsonibacter sp902363045	0.00014	0.00122	0.00073	0.00129	0.00058	0.00053	0.00105	0.00082	0.00264	0.00074	0.00056	0.00072	0.00034	0.00041	0.0004	0.00036	0.00056	0.00081	0.00037	0.00034	0.00038	0.00025	0.00061	0.00037	0.00025	0.00012	0.00032	0.00025	0.00018	0.00039	0.00047	0.00054	0.00024	0.0004	0.00056	0.00038	0.0	0.00096	5e-05	0.00051	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lawsonibacter sp904420465	2e-05	0.00012	4e-05	0.0001	5e-05	0.0003	4e-05	6e-05	7e-05	5e-05	6e-05	3e-05	0.00013	7e-05	0.00012	0.00012	0.00017	0.00019	0.00031	0.00019	5e-05	0.0003	0.00022	7e-05	0.00024	0.00016	0.0002	0.00025	0.00032	0.00052	0.00043	0.00036	0.00018	0.00017	0.00056	0.00015	0.0	5e-05	0.0	5e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Flavonifractor plautii	0.00175	0.00978	0.02052	0.01439	0.00514	0.00099	0.00323	0.00067	0.00026	0.00503	0.00065	0.00156	0.0001	0.00012	0.00013	0.0001	0.00011	0.00013	0.00013	0.00012	6e-05	7e-05	8e-05	8e-05	9e-05	5e-05	0.0001	5e-05	8e-05	5e-05	8e-05	0.0001	0.0001	0.00013	0.00012	5e-05	0.00133	0.00019	0.00677	0.01436	0.00912	4e-05	0.0	7e-05	0.02498	4e-05	0.00956
Flavonifractor merdavium	0.00069	3e-05	5e-05	4e-05	0.00043	0.00179	9e-05	0.00011	0.00078	0.00163	0.0	2e-05	0.00072	0.00352	0.00046	0.00397	0.00394	0.00213	0.01099	0.00018	0.00121	0.00273	0.00729	8e-05	0.00045	0.00097	0.00147	0.00016	0.0005	0.00024	0.00126	0.00013	0.00093	0.00133	0.00086	0.00075	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lawsonibacter sp003478995	0.00014	0.00033	0.00014	0.0003	0.0005	0.00045	0.00015	0.00034	0.00071	0.0003	0.00033	0.00017	0.0003	0.0003	0.00029	0.00022	0.0004	0.00034	0.00035	0.00023	0.00022	0.00032	0.00024	0.0002	0.00038	0.00017	0.00049	0.00023	0.00034	0.0003	0.00046	0.00029	0.00026	0.00035	0.0004	0.00021	6e-05	4e-05	0.0001	0.00063	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterenecus sp002161235	0.00037	0.00049	0.0008	0.00026	0.00092	0.00065	0.0006	0.00219	0.00065	0.00145	0.00105	0.00015	0.00021	0.0006	0.00046	0.00035	0.00076	0.00079	0.00029	0.00033	0.00026	0.00124	0.00057	0.00059	0.00071	0.00034	0.00135	0.00114	0.00077	0.00084	0.003	0.00118	0.00056	0.00068	0.00114	0.00106	0.0	0.00013	0.0	0.0	0.0	0.0	0.0	0.0	0.00013	0.0	0.0
Enterenecus stercoripullorum	0.00013	0.00056	0.00032	0.00047	0.00036	0.00033	0.00032	0.00044	0.00073	0.00031	0.00045	0.00038	0.00022	0.00027	0.0002	0.00016	0.00019	0.00042	0.00037	0.00027	0.00025	0.0002	0.00029	0.00034	0.00021	8e-05	0.00014	0.00016	0.00018	0.00015	0.00016	0.00026	0.00021	0.00029	0.00023	0.00017	0.0	0.00042	3e-05	0.00019	0.0	0.0	0.0	9e-05	0.0	0.0	0.0
Enterenecus sp905210385	0.00017	0.0003	9e-05	0.00014	0.00013	0.00022	0.00011	0.0001	0.00049	0.00012	0.00012	0.0001	0.00015	0.0002	0.00018	9e-05	0.0003	0.00036	0.00065	0.00018	0.00012	0.00013	0.00011	0.00015	0.0004	0.0002	0.00023	0.00019	0.00041	0.00038	0.00046	0.00025	0.00013	0.00039	0.00065	0.00022	0.0	6e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Onthomonas sp900758315	0.00124	0.00151	0.00122	0.00173	0.00176	0.00115	0.00128	0.00282	0.00224	0.00131	0.00093	0.00117	0.00092	0.00142	0.0015	0.00109	0.00126	0.00199	0.00148	0.00171	0.00122	0.00091	0.00186	0.0025	0.00118	0.00052	0.00113	0.00126	0.00097	0.00087	0.00141	0.00114	0.00118	0.0009	0.0013	0.0014	0.00019	0.00012	0.0001	0.00037	0.0	0.00013	0.0	0.0007	0.00028	0.00012	0.0
